path,bytes,sha256,chassis,scripts,print_sections,print_boxes,wit_panel,loop_mark,closure_line,ta_brief,cc,lundy_boxes,sow_strip,award_strip,guide_tagged
Art_Teesside/Launch/LAUNCH_ART_W7_Deliver_and_Curate_the_Arts_Project.html,101805,b14f4215c093,v5-art,6,14,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Launch/LAUNCH_ART_W8_Review_Influence_and_Portfolio_Audit.html,101894,932bb03cc985,v5-art,6,14,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Launch/Printable_LAUNCH_Evidence_and_Lundy_Pack.html,28393,13405d77afcf,doc,1,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Launch/START_HERE.html,9176,1051753d9e5f,doc,0,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Launch/Scheme_of_Work.html,10963,f4f2c7df4d21,doc,0,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Spring2_Printable_Weekly_Evidence_Pack.html,23539,c26d4b3224e4,doc,1,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Spring2_Scheme_of_Work.html,6454,082ee178ae7f,doc,0,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Summer1_Printable_Weekly_Evidence_Pack.html,23147,83e8a9f38a26,doc,1,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Summer1_Scheme_of_Work.html,5951,0f81ab89325a,doc,0,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Summer2_Printable_Weekly_Evidence_Pack.html,23401,3af9d4bedcf9,doc,1,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Summer2_Scheme_of_Work.html,6610,c74a10a19fe3,doc,0,0,0,0,0,0,,0,0,0,0,0
BUILD_ASDAN/BUILD_ASDAN_Hub.html,4585,fcae952531ac,doc,0,0,0,0,0,0,,0,0,0,0,0
BUILD_ASDAN/Careers/CAREERS_W1_My_Strengths.html,358997,29acf2dc7b18,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Careers/CAREERS_W2_Jobs_in_My_Community.html,357593,90b4ec6228ad,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Careers/CAREERS_W3_Skills_Employers_Want.html,359851,a1f8e5d60448,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Careers/CAREERS_W4_Routines_and_Reliability.html,359742,32fe125b3825,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Careers/CAREERS_W5_Applying_Myself.html,364475,01234f6dee65,v5-asdan,6,16,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Careers/CAREERS_W6_My_Career_Profile.html,363139,be902125bc74,v5-asdan,6,16,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Careers/CAREERS_W7_After_Year_11.html,361061,6591709dc640,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Careers/START_HERE.html,3494,ac288547c8b8,doc,0,0,0,0,0,0,,0,0,0,0,0
BUILD_ASDAN/Community_Project/COMM_W1_Choose_Our_Asset.html,359045,bf02e1931e37,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Community_Project/COMM_W2_The_Site's_Need.html,357744,426deea3dada,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Community_Project/COMM_W3_Our_Team_Roles.html,357978,c1de1aae86d6,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Community_Project/COMM_W4_Partner_Update.html,357775,1a301e0330ae,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Community_Project/COMM_W5_Plan_the_Handover.html,359204,c8ba5cdaefc6,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Community_Project/COMM_W6_The_Handover_and_Its_Benefit.html,358129,d2aa7666d264,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Community_Project/START_HERE.html,3322,7ae262c7fae8,doc,0,0,0,0,0,0,,0,0,0,0,0
BUILD_ASDAN/Duke_and_Enterprise/DUKE_W1_Choose_My_Challenges.html,358639,c67236a72b15,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Duke_and_Enterprise/DUKE_W2_A_Kindness_Challenge.html,357509,703be5c9dfca,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Duke_and_Enterprise/DUKE_W3_An_Eco_Challenge.html,358662,fecfbe6c2f73,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Duke_and_Enterprise/DUKE_W4_An_Independence_Challenge.html,358175,a05965e5b0eb,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Duke_and_Enterprise/DUKE_W5_Our_Social_Enterprise.html,359601,8bbd9da26d50,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Duke_and_Enterprise/DUKE_W6_Pitch_and_Reflect.html,358483,eb0c33971b65,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Duke_and_Enterprise/START_HERE.html,3383,f15660b5f155,doc,0,0,0,0,0,0,,0,0,0,0,0
BUILD_ASDAN/FoodWise/FW_W1_Food_Groups.html,358661,3e57748b72e5,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/FoodWise/FW_W2_A_Balanced_Plate.html,357324,b3978860f04c,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/FoodWise/FW_W3_Reading_Labels.html,358459,5835740c618f,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/FoodWise/FW_W4_Kitchen_Hygiene_and_Safety.html,358064,2ccef6fafee2,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/FoodWise/FW_W5_Prepare_a_Healthy_Snack.html,359403,4781591e075f,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/FoodWise/FW_W6_Plan_a_Healthy_Meal.html,358151,7a8e246f55e5,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/FoodWise/START_HERE.html,3203,c6ef1dbf8ec3,doc,0,0,0,0,0,0,,0,0,0,0,0
BUILD_ASDAN/Living_Independently/LI_W1_Where_Money_Comes_From.html,359125,abe7cfbe1476,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Living_Independently/LI_W2_Notes_and_Coins.html,356549,a5d4db5a4e54,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Living_Independently/LI_W3_Needs_vs_Wants.html,357793,82dbe06e433b,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Living_Independently/LI_W4_Everyday_Prices.html,359030,40aca8d2b56c,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Living_Independently/LI_W5_A_Simple_Budget.html,359063,3dd6c13d255f,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Living_Independently/LI_W6_Shopping_and_Change.html,358179,a70476bd0f00,v5-asdan,6,15,0,1,1,0,v5,1,4,1,1,1
BUILD_ASDAN/Living_Independently/START_HERE.html,3201,6ec36947bd51,doc,0,0,0,0,0,0,,0,0,0,0,0
BUILD_ASDAN/Resources_and_Tools.html,10260,92f1aaa5807e,doc,0,0,0,0,0,0,,0,0,0,0,0
BUILD_ASDAN/Scheme_of_Work.html,9118,7b152b7b4414,doc,0,0,0,0,0,0,,0,0,0,0,0
Build/Slideshows/BUILD_DT_W1_Workshop_Audit.html,168974,810345d25104,v5-dt,6,16,0,0,1,0,v5,1,4,1,1,1
Build/Slideshows/BUILD_DT_W2_Blueprint.html,178265,f03f96baf6df,v5-dt,6,17,0,0,1,0,v5,1,4,1,1,1
Build/Slideshows/BUILD_DT_W3_Core_Cut.html,170011,6908ae345dec,v5-dt,6,16,0,0,1,0,v5,1,4,1,1,1
Build/Slideshows/BUILD_DT_W4_Assembly.html,166704,7ad97fa7d58f,v5-dt,6,15,0,0,1,0,v5,1,4,1,1,1
Build/Slideshows/BUILD_DT_W5_Finish.html,169603,0928db1642ca,v5-dt,6,15,0,0,1,0,v5,1,4,1,1,1
Build/Slideshows/BUILD_DT_W6_Handover.html,166908,5a20d2b21a67,v5-dt,6,15,0,0,1,0,v5,1,4,1,1,1
Build/Slideshows/BUILD_HUM_W1_Human_Timeline.html,60804,b32448ae6def,hum-v4,3,14,0,0,0,0,mbm,1,4,1,0,0
Build/Slideshows/BUILD_HUM_W2_History_Detectives.html,60047,6b082ff88aea,hum-v4,3,14,0,0,0,0,mbm,1,4,1,0,0
Build/Slideshows/BUILD_HUM_W3_Why_People_Came.html,59609,d7af4375337e,hum-v4,3,14,0,0,0,0,mbm,1,4,1,0,0
Build/Slideshows/BUILD_HUM_W4_People_Who_Shaped_Britain.html,60668,1c062483a695,hum-v4,3,14,0,0,0,0,mbm,1,4,1,0,0
